u,v,osmid,lanes,name,maxspeed,length,geometry,highway
16174197,5324379024,"[8105985, 925866662, 999609606, 925866663, 925866666, 868145995, 551319224, 999602651, 999602652, 1020112575]",2.5,Šmartinska cesta,60,427.979,"LINESTRING (14.5241007 46.0619576, 14.5241977 46.0620331, 14.5242701 46.0620851, 14.5243465 46.0621332, 14.5244453 46.0621921, 14.5247409 46.0623628, 14.5249827 46.0625068, 14.5253104 46.0627062, 14.5253584 46.0627354, 14.5254807 46.0628012, 14.5255867 46.0628598, 14.5257135 46.062929, 14.5257692 46.0629601, 14.525783 46.0629679, 14.5260872 46.0631404, 14.5263318 46.0632711, 14.5266258 46.0634226, 14.52707 46.0636533, 14.5273986 46.0638174, 14.527471 46.0638535, 14.5277287 46.0639833, 14.5282271 46.064223, 14.5282696 46.064242, 14.5282884 46.064251, 14.5284557 46.0643331)",primary
16174197,1979228613,"[1020112574, 319423406, 975798015]",4.5,Šmartinska cesta,60,272.97700000000003,"LINESTRING (14.5241007 46.0619576, 14.5240258 46.0618959, 14.5239526 46.0618297, 14.5238143 46.0616942, 14.5236331 46.0615058, 14.5231328 46.0609451, 14.5222941 46.0600047, 14.522271 46.05998, 14.5222461 46.0599557, 14.5222214 46.0599351, 14.5221976 46.0599179, 14.5221731 46.0599024)",primary
16174201,16174204,"[1020121440, 1020121441, 1020121442, 1020121443, 975799659, 975799660, 180288372]",4.5,Šmartinska cesta,60,374.179,"LINESTRING (14.5297545 46.0649748, 14.5299228 46.0650574, 14.5299936 46.0650923, 14.530674 46.0654267, 14.5308449 46.0655125, 14.5312596 46.0657145, 14.5323387 46.0662476, 14.5329174 46.0665407, 14.533476 46.066819, 14.5335363 46.0668474, 14.5337048 46.0669269)",primary
16174201,5324379024,"[925866657, 180288370]",3,Šmartinska cesta,60,123.01599999999999,"LINESTRING (14.5297545 46.0649748, 14.5295543 46.0648732, 14.5294937 46.0648436, 14.5290549 46.0646277, 14.5286639 46.0644368, 14.5286091 46.064409, 14.5284557 46.0643331)",primary
16174201,2235814647,"[550229570, 1016648806, 865042635, 1016648663, 1016648661, 925866677, 1016648662]",2.5,Pokopališka ulica,50,298.15200000000004,"LINESTRING (14.5297545 46.0649748, 14.529648 46.0650794, 14.5295962 46.0651302, 14.5294839 46.0652406, 14.5294284 46.065295, 14.5291745 46.0655495, 14.5288674 46.0658586, 14.528633 46.0660986, 14.527901 46.0668556, 14.5278669 46.0668902, 14.5278367 46.0669168, 14.5278225 46.0669271, 14.5278057 46.0669363, 14.5277821 46.0669459, 14.5277588 46.0669535, 14.5277313 46.0669602, 14.5276937 46.0669642, 14.5276573 46.0669634, 14.5276183 46.0669584, 14.5275698 46.0669482, 14.5273959 46.0669101)",tertiary
16174201,26460540,"[149741609, 977620642, 977620643]",2.5,Pokopališka ulica,30,242.16199999999998,"LINESTRING (14.5297545 46.0649748, 14.5298442 46.0648816, 14.5298806 46.0648408, 14.5303296 46.0643586, 14.5303914 46.0642943, 14.5307565 46.0639046, 14.5309136 46.0637392, 14.5309525 46.0636984, 14.5313456 46.063269, 14.5313819 46.0632293, 14.5314487 46.063142)",tertiary
16174204,26553941,"[238788000, 238788001, 1064633511, 1064633512, 1064633513, 925519502, 996702579, 31660564, 1089078940, 1089027069]",2.5,Jarška cesta,30,1169.252,"LINESTRING (14.5337048 46.0669269, 14.5335578 46.0670661, 14.5335133 46.0671066, 14.533447 46.0671788, 14.5334178 46.0672267, 14.5333995 46.0672748, 14.5333964 46.0673252, 14.5334057 46.0673827, 14.5334332 46.0674572, 14.5334837 46.0675384, 14.5339721 46.0681019, 14.5341926 46.0683612, 14.5347666 46.0690237, 14.5349454 46.0692307, 14.5351445 46.0694603, 14.5353459 46.0696965, 14.5355087 46.0698944, 14.5355414 46.0699315, 14.5357304 46.0701723, 14.5359288 46.070432, 14.5363436 46.0709844, 14.5364369 46.0710994, 14.5366033 46.0713158, 14.5367322 46.0714708, 14.5369491 46.0717251, 14.5371896 46.0719996, 14.5377761 46.0726787, 14.538136 46.0730938, 14.5382137 46.0731833, 14.5382661 46.0732436, 14.5386937 46.0737388, 14.5387969 46.0738583, 14.5388751 46.0739473, 14.5392102 46.0743287, 14.5393467 46.0744841, 14.5395083 46.074675, 14.5396229 46.0748038, 14.5396414 46.0748252, 14.5397549 46.0749565, 14.5402201 46.0755175, 14.540374 46.0757014, 14.5404439 46.0757813, 14.5405094 46.0758552, 14.5405588 46.0759128, 14.5406431 46.0760199)",tertiary
16174204,16179400,"[884371426, 1186504450, 1193011436, 1193011437, 1193011438, 1193011439, 1186500655, 180288654, 925519503, 996702578, 1186500658, 1186500657, 1186504441]",3,Kajuhova ulica,60,397.41700000000003,"LINESTRING (14.5337048 46.0669269, 14.5337912 46.0668534, 14.5338408 46.0668092, 14.5338869 46.0667684, 14.5340501 46.0666335, 14.5340987 46.0665931, 14.5341416 46.0665577, 14.5342469 46.066471, 14.5343471 46.0663886, 14.5346879 46.066104, 14.5350454 46.0657966, 14.5354779 46.0654248, 14.5355193 46.0653892, 14.5355844 46.0653324, 14.5363703 46.0646467, 14.5366251 46.0644244, 14.5367244 46.0643396, 14.5367604 46.0643073, 14.5368258 46.0642485, 14.5369412 46.0641466)",secondary
16174204,50103824,"[149741637, 975800622, 975800273, 975800274, 865931697, 996705983, 925519509, 925346968, 925346969, 149741626, 996702587, 996702588, 996697693, 996700479]",3.0,Šmartinska cesta,60,1341.5750000000003,"LINESTRING (14.5337048 46.0669269, 14.5339614 46.066981, 14.5342522 46.0671195, 14.5348835 46.0674185, 14.5355913 46.0677546, 14.5358587 46.0678814, 14.5361755 46.0680267, 14.5365154 46.0681727, 14.536742 46.0682625, 14.5369631 46.0683442, 14.5371222 46.0684002, 14.5372909 46.0684572, 14.5374131 46.068496, 14.5374793 46.0685163, 14.5377579 46.0685991, 14.5379856 46.0686611, 14.5385342 46.0687923, 14.5387679 46.068844, 14.5390139 46.0688902, 14.5392551 46.0689312, 14.5397434 46.0690189, 14.5400043 46.0690559, 14.5403297 46.0691035, 14.5404023 46.069113, 14.5406856 46.0691453, 14.5409617 46.0691744, 14.5417689 46.0692844, 14.5429686 46.0694438, 14.5431211 46.0694635, 14.5441122 46.0695968, 14.5455805 46.0698087, 14.5456519 46.0698184, 14.5459441 46.0698524, 14.5461782 46.0698749, 14.5469205 46.0699749, 14.5483999 46.0701729, 14.5493522 46.0702997, 14.5498391 46.0703673, 14.5501308 46.0704041)",primary
16174204,16174201,"[1020121440, 1020121441, 1020121442, 1020121443, 975799659, 975799660, 180288372]",4.5,Šmartinska cesta,60,374.179,"LINESTRING (14.5337048 46.0669269, 14.5335363 46.0668474, 14.533476 46.066819, 14.5329174 46.0665407, 14.5323387 46.0662476, 14.5312596 46.0657145, 14.5308449 46.0655125, 14.530674 46.0654267, 14.5299936 46.0650923, 14.5299228 46.0650574, 14.5297545 46.0649748)",primary
