                              minimum      maximum
R390-unicevanje           1150.000000  1150.000000
R391-unicevanje           1150.000000  1150.000000
R392-unicevanje              0.000000  1150.000000
R393-unicevanje              0.000000  1150.000000
R394-unicevanje              0.000000  1150.000000
R395-unicevanje              0.000000  1150.000000
R396-unicevanje              0.000000  1150.000000
R397-unicevanje              0.000000  1150.000000
R398-unicevanje              0.000000  1150.000000
R399-unicevanje              0.000000  1150.000000
R400-unicevanje              0.000000     0.000000
R401-unicevanje              0.000000     0.000000
R402-unicevanje              0.000000     0.000000
R403-unicevanje              0.000000     0.000000
R404-unicevanje              0.000000  1150.000000
R405-unicevanje              0.000000  1150.000000
R406-unicevanje              0.000000     0.000000
R407-unicevanje              0.000000     0.000000
R408-unicevanje              0.000000  1150.000000
R409-unicevanje              0.000000  1150.000000
R410-unicevanje              0.000000  1150.000000
R411-unicevanje              0.000000     0.000000
R412-unicevanje              0.000000     0.000000
R413-unicevanje              0.000000     0.000000
R414-unicevanje              0.000000     0.000000
R415-unicevanje              0.000000     0.000000
R416-unicevanje              0.000000     0.000000
R417-unicevanje              0.000000     0.000000
R418-unicevanje              0.000000     0.000000
R419-unicevanje              0.000000     0.000000
R420-unicevanje              0.000000     0.000000
R421-unicevanje              0.000000  1150.000000
R422-unicevanje              0.000000  1150.000000
R423-unicevanje              0.000000  1150.000000
R424-unicevanje              0.000000  1150.000000
R425-unicevanje              0.000000  1150.000000
R426-unicevanje              0.000000  1150.000000
R427-unicevanje              0.000000  1150.000000
R428-unicevanje              0.000000  1150.000000
R429-unicevanje              0.000000  1150.000000
R430-unicevanje              0.000000     0.000000
R431-unicevanje              0.000000     0.000000
R432-unicevanje              0.000000     0.000000
R433-unicevanje              0.000000     0.000000
R434-unicevanje              0.000000  1150.000000
R435-unicevanje              0.000000  1150.000000
R436-unicevanje              0.000000  1150.000000
R437-unicevanje              0.000000     0.000000
R438-unicevanje              0.000000  1150.000000
R439-unicevanje              0.000000  1150.000000
R440-unicevanje              0.000000  1150.000000
R441-unicevanje              0.000000  1150.000000
R442-unicevanje              0.000000  1150.000000
R443-unicevanje              0.000000  1150.000000
R444-unicevanje              0.000000  1150.000000
R445-unicevanje              0.000000     0.000000
R446-unicevanje              0.000000  1150.000000
R447-unicevanje              0.000000     0.000000
R448-unicevanje              0.000000     0.000000
R449-unicevanje           1150.000000  1150.000000
R450-unicevanje           1150.000000  1150.000000
R451-unicevanje              0.000000  1150.000000
R452-unicevanje              0.000000  1150.000000
R453-unicevanje              0.000000  1150.000000
R454-unicevanje              0.000000     0.000000
R455-unicevanje              0.000000     0.000000
R456-unicevanje              0.000000     0.000000
R457-unicevanje              0.000000   900.000000
R458-unicevanje              0.000000  1150.000000
R459-unicevanje              0.000000  1150.000000
R460-unicevanje           1150.000000  1150.000000
R461-unicevanje           1150.000000  1150.000000
R462-unicevanje              0.000000  1150.000000
R463-unicevanje              0.000000     0.000000
R464-unicevanje              0.000000     0.000000
R465-unicevanje              0.000000     0.000000
R466-unicevanje              0.000000     0.000000
R467-unicevanje              0.000000     0.000000
R468-unicevanje              0.000000     0.000000
R469-unicevanje              0.000000  1150.000000
R470-unicevanje              0.000000  1150.000000
R471-unicevanje              0.000000  1150.000000
R472-unicevanje              0.000000  1150.000000
R473-unicevanje              0.000000  1150.000000
R474-unicevanje              0.000000     0.000000
R475-unicevanje              0.000000  1150.000000
R476-unicevanje              0.000000  1150.000000
R477-unicevanje              0.000000  1150.000000
R478-unicevanje              0.000000  1150.000000
R479-unicevanje              0.000000     0.000000
R480-unicevanje              0.000000  1150.000000
R481-unicevanje              0.000000     0.000000
R482-unicevanje              0.000000  1150.000000
R483-unicevanje              0.000000  1150.000000
R484-unicevanje              0.000000  1150.000000
R485-unicevanje              0.000000  1150.000000
R486-unicevanje              0.000000     0.000000
R487-unicevanje              0.000000     0.000000
R488-unicevanje              0.000000     0.000000
R489-unicevanje              0.000000     0.000000
R490-unicevanje              0.000000     0.000000
R491-unicevanje              0.000000     0.000000
R492-unicevanje           1150.000000  1150.000000
R493-unicevanje           1150.000000  1150.000000
R494-unicevanje              0.000000     0.000000
R495-unicevanje              0.000000   483.750000
R496-unicevanje              0.000000   483.750000
R497-unicevanje              0.000000  1150.000000
R498-unicevanje           1150.000000  1150.000000
R499-unicevanje              0.000000  1150.000000
R500-unicevanje              0.000000  1150.000000
R501-unicevanje              0.000000  1150.000000
R502-unicevanje              0.000000  1150.000000
R503-unicevanje           1150.000000  1150.000000
R504-unicevanje           1150.000000  1150.000000
R505-unicevanje              0.000000  1150.000000
R506-unicevanje           1150.000000  1150.000000
R507-unicevanje              0.000000  1150.000000
R508-unicevanje              0.000000     0.000000
R509-unicevanje              0.000000  1150.000000
R510-unicevanje              0.000000  1150.000000
R511-unicevanje              0.000000  1150.000000
R512-unicevanje              0.000000  1150.000000
R513-unicevanje              0.000000  1150.000000
R514-unicevanje              0.000000   238.000000
R515-unicevanje              0.000000  1150.000000
R516-unicevanje              0.000000  1150.000000
R517-unicevanje              0.000000     0.000000
R518-unicevanje              0.000000     0.000000
R519-unicevanje           1150.000000  1150.000000
R520-unicevanje              0.000000  1150.000000
R521-unicevanje              0.000000     0.000000
R522-unicevanje              0.000000  1150.000000
R523-unicevanje              0.000000  1150.000000
R524-unicevanje              0.000000     0.000000
R525-unicevanje              0.000000     0.000000
R526-unicevanje              0.000000     0.000000
R527-unicevanje              0.000000     0.000000
R528-unicevanje              0.000000   512.250000
R529-unicevanje              0.000000   512.250000
R530-unicevanje           1150.000000  1150.000000
R531-unicevanje              0.000000  1150.000000
R532-unicevanje              0.000000     0.000000
R533-unicevanje              0.000000     0.000000
R534-unicevanje              0.000000  1150.000000
R535-unicevanje           1150.000000  1150.000000
R536-unicevanje           1150.000000  1150.000000
R537-unicevanje              0.000000  1150.000000
R538-unicevanje              0.000000     0.000000
R539-unicevanje              0.000000   228.000000
R540-unicevanje              0.000000     0.000000
R541-unicevanje              0.000000     0.000000
R542-unicevanje              0.000000  1150.000000
R543-unicevanje              0.000000  1150.000000
R544-unicevanje              0.000000  1150.000000
R545-unicevanje              0.000000  1150.000000
R546-unicevanje           1150.000000  1150.000000
R547-unicevanje              0.000000  1150.000000
R548-unicevanje              0.000000  1150.000000
R549-unicevanje              0.000000  1150.000000
R550-unicevanje              0.000000  1150.000000
R551-unicevanje              0.000000  1150.000000
R552-unicevanje              0.000000  1150.000000
R553-unicevanje              0.000000  1150.000000
R554-unicevanje              0.000000  1150.000000
R555-unicevanje              0.000000  1150.000000
R556-unicevanje              0.000000  1150.000000
R557-unicevanje              0.000000  1150.000000
R558-unicevanje              0.000000  1150.000000
R559-unicevanje              0.000000  1150.000000
R560-unicevanje           1150.000000  1150.000000
R561-unicevanje              0.000000  1150.000000
R562-unicevanje              0.000000     0.000000
R563-unicevanje              0.000000     0.000000
R564-unicevanje              0.000000     0.000000
R565-unicevanje              0.000000  1150.000000
R566-unicevanje              0.000000  1150.000000
R567-unicevanje              0.000000  1150.000000
R568-unicevanje              0.000000  1150.000000
R569-unicevanje              0.000000     0.000000
R570-unicevanje              0.000000  1150.000000
R571-unicevanje           1150.000000  1150.000000
R572-unicevanje              0.000000  1150.000000
R573-unicevanje              0.000000  1150.000000
R574-unicevanje              0.000000  1150.000000
R575-unicevanje              0.000000  1150.000000
R576-unicevanje              0.000000  1150.000000
R577-unicevanje              0.000000  1150.000000
R578-unicevanje              0.000000  1150.000000
R579-unicevanje              0.000000  1150.000000
R580-unicevanje              0.000000  1150.000000
R581-unicevanje              0.000000  1150.000000
R582-unicevanje              0.000000  1150.000000
R583-unicevanje              0.000000  1150.000000
R584-unicevanje              0.000000  1150.000000
R585-unicevanje           1150.000000  1150.000000
R586-unicevanje              0.000000  1150.000000
R587-unicevanje           1150.000000  1150.000000
R588-unicevanje              0.000000  1150.000000
R589-unicevanje              0.000000  1150.000000
R590-unicevanje           1150.000000  1150.000000
R591-unicevanje              0.000000  1150.000000
R592-unicevanje              0.000000  1150.000000
R593-unicevanje              0.000000     0.000000
R594-unicevanje              0.000000  1150.000000
R595-unicevanje              0.000000  1150.000000
R596-unicevanje              0.000000  1150.000000
R597-unicevanje              0.000000  1150.000000
R598-unicevanje              0.000000  1150.000000
R599-unicevanje              0.000000     0.000000
R600-unicevanje              0.000000  1150.000000
R601-unicevanje              0.000000  1150.000000
R602-unicevanje              0.000000  1150.000000
R603-unicevanje           1150.000000  1150.000000
R604-unicevanje           1150.000000  1150.000000
R605-unicevanje              0.000000  1150.000000
R606-unicevanje              0.000000     0.000000
R607-unicevanje              0.000000  1150.000000
R608-unicevanje              0.000000  1150.000000
R609-unicevanje              0.000000  1150.000000
R610-unicevanje              0.000000  1150.000000
R611-unicevanje              0.000000  1150.000000
R612-unicevanje              0.000000  1150.000000
R613-unicevanje              0.000000  1150.000000
R614-unicevanje              0.000000  1150.000000
R615-unicevanje              0.000000  1150.000000
R616-unicevanje              0.000000  1150.000000
R617-unicevanje              0.000000  1150.000000
R618-unicevanje              0.000000  1150.000000
R619-unicevanje              0.000000  1150.000000
R620-unicevanje              0.000000  1150.000000
R621-unicevanje              0.000000  1150.000000
R622-unicevanje              0.000000  1150.000000
R623-unicevanje              0.000000  1150.000000
R624-unicevanje              0.000000  1150.000000
R625-unicevanje              0.000000  1150.000000
R626-unicevanje              0.000000  1150.000000
R627-unicevanje              0.000000     0.000000
R628-unicevanje           1150.000000  1150.000000
R629-unicevanje              0.000000  1150.000000
R630-unicevanje              0.000000  1150.000000
R631-unicevanje              0.000000  1150.000000
R632-unicevanje              0.000000  1150.000000
R633-unicevanje              0.000000     0.000000
R634-unicevanje              0.000000     0.000000
R635-unicevanje              0.000000   228.000000
R636-unicevanje              0.000000   497.000000
R637-unicevanje              0.000000     0.000000
R638-unicevanje              0.000000     0.000000
R639-unicevanje              0.000000   228.000000
R640-unicevanje              0.000000  1150.000000
R641-unicevanje              0.000000  1150.000000
R642-unicevanje              0.000000     0.000000
R643-unicevanje            180.500000  1150.000000
R644-unicevanje              0.000000     0.000000
R645-unicevanje              0.000000     0.000000
R646-unicevanje              0.000000  1150.000000
R647-unicevanje              0.000000     0.000000
R648-unicevanje              0.000000     0.000000
R649-unicevanje              0.000000  1150.000000
R650-unicevanje              0.000000  1150.000000
R651-unicevanje              0.000000  1150.000000
R652-unicevanje              0.000000  1150.000000
R653-unicevanje              0.000000  1150.000000
R654-unicevanje              0.000000  1150.000000
R655-unicevanje              0.000000  1150.000000
R656-unicevanje              0.000000  1150.000000
R657-unicevanje              0.000000  1150.000000
R658-unicevanje            900.000000  1150.000000
R659-unicevanje              0.000000  1150.000000
R660-unicevanje              0.000000  1150.000000
R661-unicevanje              0.000000     0.000000
R662-unicevanje           1150.000000  1150.000000
R663-unicevanje              0.000000  1150.000000
R664-unicevanje              0.000000  1150.000000
R665-unicevanje              0.000000  1150.000000
R666-unicevanje              0.000000  1150.000000
R667-unicevanje              0.000000  1150.000000
R668-unicevanje              0.000000  1150.000000
R669-unicevanje              0.000000  1150.000000
R670-unicevanje              0.000000  1150.000000
R671-unicevanje              0.000000  1150.000000
R672-unicevanje              0.000000     0.000000
R673-unicevanje              0.000000  1150.000000
R674-unicevanje              0.000000  1150.000000
R675-unicevanje              0.000000  1150.000000
R676-unicevanje              0.000000  1150.000000
R677-unicevanje              0.000000  1150.000000
R678-unicevanje              0.000000  1150.000000
R679-unicevanje              0.000000  1150.000000
R680-unicevanje              0.000000  1150.000000
R681-unicevanje              0.000000  1150.000000
R682-unicevanje              0.000000  1150.000000
R683-unicevanje              0.000000  1150.000000
R684-unicevanje              0.000000  1150.000000
R685-unicevanje              0.000000  1150.000000
R686-unicevanje              0.000000  1150.000000
R687-unicevanje              0.000000  1150.000000
R688-unicevanje              0.000000  1150.000000
R689-unicevanje              0.000000  1150.000000
R690-unicevanje              0.000000  1150.000000
R691-unicevanje              0.000000     0.000000
R692-unicevanje              0.000000     0.000000
R693-unicevanje              0.000000     0.000000
R694-unicevanje              0.000000     0.000000
R695-unicevanje              0.000000     0.000000
R696-unicevanje              0.000000     0.000000
R697-unicevanje              0.000000     0.000000
R698-unicevanje              0.000000     0.000000
R699-unicevanje              0.000000     0.000000
R700-unicevanje              0.000000  1150.000000
